ticker,map_crypto_type,map_crypto_underlier
GDOG US,Spot Single Asset,Dogecoin
SOLC US,Spot Single Asset,Solana
SOEZ US,Spot Single Asset,Solana
BWOW US,Spot Single Asset,Dogecoin
QSOL US,Spot Single Asset,Solana
TOXR US,Spot Single Asset,XRP
CLNK US,Spot Single Asset,Chainlink
VAVX US,Spot Single Asset,alt-coin only (AVAX)
BPRO US,Hybrid (spot/multi + derivatives),crypto + traditional asset
KRYP US,Spot Multi-asset; passive,multi-token crypto
TDOG US,Spot Single Asset,Dogecoin
GSUI US,Spot Single Asset,alt-coin only (SUI)
SUIS US,Spot Single Asset,alt-coin only (SUI)
BCOR US,Equity,Bitcoin
EEE US,Derivatives-based; futures-based,crypto + traditional asset
GLDB US,Derivatives-based; futures-based,crypto + traditional asset
SSS US,Derivatives-based; futures-based,crypto + traditional asset
TDOT US,Spot Single Asset,alt-coin only (DOT)
TSUI US,Spot Single Asset,alt-coin only (SUI)
XXX US,Derivatives-based; futures-based,crypto + traditional asset
ORO US,Spot,
CRYP US,Spot,Bitcoin
ARKZ US,Derivatives-based; futures-based,Ethereum
ARKA US,Derivatives-based; futures-based,Bitcoin
XBTF US,Spot,Bitcoin
EFUT US,Spot,Ethereum
ARKC US,Spot,Bitcoin
ARKY US,Spot,Bitcoin
EX US,Spot,Ethereum
OETH US,Spot,Ethereum
PBTC US,Spot,Bitcoin
SPXB US,Spot,Bitcoin
TKNS US,Spot,Multi-Crypto
XRPL US,Spot,XRP
CXSO US,Spot,Solana
BNBR US,Spot,
YTSM US,Spot,Bitcoin
TXXH US,Derivatives-based; leveraged,
XBNB US,Derivatives-based; leveraged,
BHDG US,Spot,Bitcoin
NGHT US,Spot,Bitcoin
BTCK US,Derivatives-based; futures-based,Bitcoin
BAVA US,Spot,
ETHB US,Spot,Ethereum
OWNB US,Spot,Bitcoin
DAM US,Spot,Multi-Crypto
GFOF US,Spot,
NFTZ US,Spot,
2618828D US,Spot,
BCNA US,Spot,
BKC US,Spot,
BTCR US,Spot,Multi-Crypto
KOIN US,Spot,
RIGZ US,Spot,Bitcoin
VBB US,Spot,
BLOC US,Derivatives-based; leveraged,
ZZZ US,Spot,Multi-Crypto
CRDD US,Spot,
EHCC US,Spot,Ethereum
MSBT US,Spot,Bitcoin
BESO US,Spot,Multi-Crypto
