ticker,map_defined_category
FMAY US,Buffer
FNOV US,Buffer
FOCT US,Buffer
FSEP US,Buffer
DDEC US,Buffer
DFEB US,Buffer
DJUL US,Buffer
DJUN US,Buffer
DMAR US,Buffer
DMAY US,Buffer
DNOV US,Buffer
DOCT US,Buffer
DSEP US,Buffer
DLAG US,Buffer
DLNV US,Buffer
XAPR US,Buffer
XAUG US,Buffer
XDEC US,Buffer
XFEB US,Buffer
XJAN US,Buffer
XJUL US,Buffer
XJUN US,Buffer
XMAR US,Buffer
XMAY US,Buffer
XNOV US,Buffer
XOCT US,Buffer
RSDE US,Buffer
RSJN US,Buffer
RSMR US,Buffer
RSSE US,Buffer
APXM US,Buffer
AUGM US,Buffer
DECM US,Buffer
FEBM US,Buffer
JANM US,Buffer
JULM US,Buffer
JUNM US,Buffer
MARM US,Buffer
MAYM US,Buffer
NOVM US,Buffer
OCTM US,Buffer
SEPM US,Buffer
GAPR US,Buffer
GAUG US,Buffer
GDEC US,Buffer
GFEB US,Buffer
GJAN US,Buffer
GJUL US,Buffer
GJUN US,Buffer
GMAR US,Buffer
GMAY US,Buffer
GNOV US,Buffer
GOCT US,Buffer
GSEP US,Buffer
DHDG US,Buffer
FHDG US,Buffer
SQMX US,Buffer
UXAP US,Accelerator
UXJA US,Accelerator
UXJL US,Accelerator
UXOC US,Accelerator
SAUG US,Buffer
SFEB US,Buffer
SNOV US,Buffer
GBXA US,Buffer
GBXB US,Buffer
GBXC US,Buffer
QGRD US,Defined Risk
TFJL US,Floor
TBJL US,Buffer
BSTP US,Buffer
BALT US,Buffer
EBUF US,Buffer
EAPR US,Buffer
EJAN US,Buffer
EJUL US,Buffer
EOCT US,Buffer
ACEI US,Barrier
ZAPR US,Buffer
ZAUG US,Buffer
ZDEK US,Buffer
ZFEB US,Buffer
ZJAN US,Buffer
ZJUL US,Buffer
ZJUN US,Buffer
ZMAR US,Buffer
ZMAY US,Buffer
ZNOV US,Buffer
ZOCT US,Buffer
ZSEP US,Buffer
AAPR US,Buffer
TAPR US,Buffer
TJAN US,Buffer
AJAN US,Buffer
AJUL US,Buffer
TJUL US,Buffer
AOCT US,Buffer
TOCT US,Buffer
APOC US,Buffer
JAJL US,Buffer
DDTD US,Dual Buffer
DDTJ US,Dual Buffer
DDTL US,Dual Buffer
DDTN US,Dual Buffer
DDTO US,Dual Buffer
DDTS US,Dual Buffer
DDFD US,Dual Buffer
DDFJ US,Dual Buffer
DDFL US,Dual Buffer
DDFN US,Dual Buffer
DDFO US,Dual Buffer
DDFS US,Dual Buffer
DDSQ US,Dual Buffer
BFRZ US,Buffer
SFLR US,Floor
QTAP US,Accelerator
NAPR US,Buffer
NJAN US,Buffer
NJUL US,Buffer
QTJA US,Accelerator
QTJL US,Accelerator
QTOC US,Accelerator
XDQQ US,Accelerator
DDNQ US,Dual Buffer
NAUG US,Buffer
NDEC US,Buffer
NFEB US,Buffer
NJUN US,Buffer
NMAR US,Buffer
NMAY US,Buffer
NNOV US,Buffer
NSEP US,Buffer
NOCT US,Buffer
QHDG US,Hedged Equity
ACII US,Barrier
IBUF US,Buffer
IFLR US,Floor
IAPR US,Buffer
IAUG US,Buffer
IDEC US,Buffer
IFEB US,Buffer
IJAN US,Buffer
IJUL US,Buffer
IJUN US,Buffer
IMAR US,Buffer
IMAY US,Buffer
INOV US,Buffer
IOCT US,Buffer
ISEP US,Buffer
BUFB US,Ladder
BUFF US,Ladder
QBUF US,Buffer
QFLR US,Floor
PSTP US,Buffer
LAPR US,Buffer
