etp_category,issuer,issuer_nickname
Thematic,Nomura ETF Trust,Nomura
CC,Northern Lights Fund Trust IV/,Northern Lights
Thematic,Northern Lights Fund Trust IV/,Northern Lights
Crypto,NYDIG Bitcoin Strategy Fund/Fu,NYDIG
Crypto,Onefund Trust,Onefund
Defined,Pacer ETFs/USA,Pacer
Thematic,Pacer ETFs/USA,Pacer
Thematic,PGIM ETF Trust,PGIM
Thematic,Procure ETF Trust II,Procure
Crypto,ProFunds,ProFunds
CC,ProShares Trust,ProShares
Crypto,ProShares Trust,ProShares
Defined,ProShares Trust,ProShares
LI,ProShares Trust II,ProShares
LI,ProShares Trust,ProShares
Thematic,ProShares Trust,ProShares
Defined,PGIM Rock ETF Trust,Prudential
Thematic,Putnam ETF Trust,Putnam
LI,Collaborative Investment Serie,Rareview
Thematic,RBB Fund Trust/The,RBB Fund
LI,Listed Funds Trust/Reckoner Ca,Reckoner
Thematic,Renaissance ETFs/USA,Renaissance
CC,Rex Shares/ETF Opportunities T,REX
CC,Rex Shares ETFs/USA,REX
CC,REX ETF Trust,REX
Crypto,Rex Shares ETFs/USA,REX
Crypto,ETF Opportunities Trust/REX Sh,REX
Crypto,Rex Shares/ETF Opportunities T,REX
LI,ETF Opportunities Trust/REX Sh,REX
Thematic,Rex Shares/ETF Opportunities T,REX
Thematic,REX ETF Trust,REX
CC,Roundhill ETF Trust,Roundhill
Crypto,Roundhill ETF Trust,Roundhill
LI,Roundhill ETF Trust,Roundhill
Thematic,Roundhill ETF Trust,Roundhill
Thematic,Russell Investments Exchange T,Russell
Crypto,Schwab Strategic Trust,Schwab
Thematic,Schwab Strategic Trust,Schwab
CC,SCM Trust,SCM
Thematic,Series Portfolio Trust/Infrast,Series Portfolio Trust
CC,Simplify Exchange Traded Funds,Simplify
Crypto,Simplify Exchange Traded Funds,Simplify
Defined,Simplify Exchange Traded Funds,Simplify
LI,Simplify Exchange Traded Funds,Simplify
Thematic,Simplify Exchange Traded Funds,Simplify
Thematic,Siren ETF Trust,Siren
Thematic,SPDR Index Shares Funds,State Street
CC,Select Sector SPDR Trust/The,State Street
Thematic,Spinnaker ETF Trust,Spinnaker
Thematic,Sprott ETF Trust,Sprott
CC,Elevation Series Trust/Paralel,SRH
CC,State Street ETF/USA,State Street
Crypto,State Street ETF/USA,State Street
CC,SSGA Active Trust,State Street
Crypto,SSGA Active Trust,State Street
Thematic,SPDR Series Trust,State Street
Thematic,SSGA Active Trust,State Street
Thematic,State Street ETF/USA,State Street
Thematic,Strategas Asset Management LLC,Strategas
CC,Northern Lights Fund Trust III,Swan
CC,T Rowe Price Exchange-Traded F,T Rowe
Defined,T Rowe Price Exchange-Traded F,T Rowe
CC,ETF Opportunities Trust,TappAlpha
Thematic,TCW Etf Trust,TCW
Thematic,Tema ETF Trust,Tema
Crypto,Teucrium ETFs/USA,Teucrium
LI,Teucrium ETFs/USA,Teucrium
LI,Listed Funds Trust/Teucrium In,Teucrium
Crypto,Listed Funds Trust/Teucrium In,Teucrium
Thematic,Themes ETF Trust,Themes
Crypto,Tidal Trust III,Tidal
Thematic,Tidal Trust II,Tidal
Thematic,Tidal Trust III,Tidal
Thematic,Tidal Trust I,Tidal
Thematic,Touchstone ETF Trust,Touchstone
Thematic,Trust For Professional Manager,TPM (Trust for Professional Managers)
LI,Investment Managers Series Tru,Tradr
CC,Elevation Series Trust,TrueShares
Defined,Elevation Series Trust,TrueShares
CC,Exchange-Traded Concepts ETFs/,Tuttle
CC,ETF Opportunities Trust/Tuttle,Tuttle
LI,ETF Opportunities Trust/Tuttle,Tuttle
Crypto,ETF Opportunities Trust/Tuttle,Tuttle
LI,ETF Opportunities Trust,Tuttle
Thematic,Two Roads Shared Trust/Hypatia,Two Roads / Hypatia
LI,United States Commodities ETFs,USCF
Crypto,United States Commodities ETFs,USCF
CC,United States Commodities ETFs,USCF
Thematic,United States Commodities ETFs,USCF
Crypto,Valkyrie Digital Assets LLC,Valkyrie
Crypto,Valkyrie ETF Trust II,Valkyrie
