ticker,map_li_category,map_li_subcategory,map_li_direction,map_li_leverage_amount,map_li_underlier
DUOG US,Equity,Single Stock,Long,2.0,DUOL US
DUSL US,Equity,Index/Basket/ETF Based,Long,3.0,
DUST US,Equity,Index/Basket/ETF Based,Short,2.0,
DXD US,Equity,Index/Basket/ETF Based,Short,2.0,
DYYXF US,Commodity,Index/Basket/ETF Based,Long,2.0,
DZZ US,Commodity,Index/Basket/ETF Based,Short,1.0,
EDC US,Equity,Index/Basket/ETF Based,Long,3.0,
EDZ US,Equity,Index/Basket/ETF Based,Short,3.0,
EET US,Equity,Index/Basket/ETF Based,Long,2.0,
EEV US,Equity,Index/Basket/ETF Based,Short,2.0,
EFO US,Equity,Index/Basket/ETF Based,Long,2.0,
EFU US,Equity,Index/Basket/ETF Based,Short,2.0,
EFZ US,Equity,Index/Basket/ETF Based,Short,1.0,
ELIL US,Equity,Single Stock,Long,2.0,LLY US
ELIS US,Equity,Single Stock,Short,1.0,LLY US
EMTY US,Equity,Index/Basket/ETF Based,Short,1.0,
ENPX US,Equity,Single Stock,Long,2.0,ENPH US
EOSU US,Equity,Single Stock,Long,2.0,EOSE US
EPV US,Equity,Index/Basket/ETF Based,Short,2.0,
ERX US,Equity,Index/Basket/ETF Based,Long,2.0,
ERY US,Equity,Index/Basket/ETF Based,Short,2.0,
ETHD US,Crypto,Single Stock,Short,2.0,XETUSD Curncy
ETHT US,Crypto,Single Stock,Long,2.0,XETUSD Curncy
ETHU US,Crypto,Single Stock,Long,2.0,XETUSD Curncy
ETQ US,Crypto,Single Stock,Short,2.0,XETUSD Curncy
ETRL US,Equity,Single Stock,Long,2.0,ETOR US
ETU US,Crypto,Single Stock,Long,2.0,XETUSD Curncy
EUM US,Equity,Index/Basket/ETF Based,Short,1.0,
EUO US,Currency,Index/Basket/ETF Based,Short,2.0,EURUSD Curncy
EURL US,Equity,Index/Basket/ETF Based,Long,3.0,
EWV US,Equity,Index/Basket/ETF Based,Short,2.0,
EZJ US,Equity,Index/Basket/ETF Based,Long,2.0,
FAS US,Equity,Index/Basket/ETF Based,Long,3.0,
FAZ US,Equity,Index/Basket/ETF Based,Short,3.0,
FBL US,Equity,Single Stock,Long,2.0,META US
FDRX US,Equity,Index/Basket/ETF Based,Long,2.0,FDRTR Index
FIGG US,Equity,Single Stock,Long,2.0,FIG US
FLYT US,Equity,Single Stock,Long,2.0,FLY US
FNGG US,Equity,Index/Basket/ETF Based,Long,2.0,
FRDD US,Equity,Single Stock,Short,1.0,F US
FRDU US,Equity,Single Stock,Long,2.0,F US
FUTG US,Equity,Single Stock,Long,2.0,FUTU US
FXP US,Equity,Index/Basket/ETF Based,Short,2.0,
GEMG US,Equity,Single Stock,Long,2.0,GEMI US
GEVG US,Equity,Single Stock,Long,2.0,GEV US
GEVX US,Equity,Single Stock,Long,2.0,GEV US
GGLL US,Equity,Single Stock,Long,2.0,GOOGL US
GGLS US,Equity,Single Stock,Short,1.0,GOOGL US
GLGG US,Equity,Single Stock,Long,2.0,GLXY US
GLL US,Commodity,Index/Basket/ETF Based,Short,2.0,USDXAU Curncy
GLXU US,Equity,Single Stock,Long,2.0,GLXY US
GMEU US,Equity,Single Stock,Long,2.0,GME US
GOOX US,Equity,Single Stock,Long,2.0,GOOG US
GOU US,Equity,Single Stock,Long,2.0,GOOGL US
GRAG US,Equity,Single Stock,Long,2.0,GRAB US
GSX US,Equity,Single Stock,Long,2.0,GS US
GUSH US,Equity,Index/Basket/ETF Based,Long,2.0,
HCMT US,Equity,Index/Basket/ETF Based,Tactical,,
HIBL US,Equity,Index/Basket/ETF Based,Long,3.0,
HIBS US,Equity,Index/Basket/ETF Based,Short,3.0,
HIMZ US,Equity,Single Stock,Long,2.0,HIMS US
HODU US,Equity,Single Stock,Long,2.0,BULL US
HOOG US,Equity,Single Stock,Long,2.0,HOOD US
HOOX US,Equity,Single Stock,Long,2.0,HOOD US
HOOZ US,Equity,Single Stock,Short,2.0,HOOD US
HUTG US,Equity,Single Stock,Long,2.0,HUT US
INDL US,Equity,Index/Basket/ETF Based,Long,2.0,
INTW US,Equity,Single Stock,Long,2.0,INTC US
IONL US,Equity,Single Stock,Long,2.0,IONQ US
IONX US,Equity,Single Stock,Long,2.0,IONQ US
IONZ US,Equity,Single Stock,Short,2.0,IONQ US
IRE US,Equity,Single Stock,Long,2.0,IREN US
IREG US,Equity,Single Stock,Long,2.0,IREN US
IREX US,Equity,Single Stock,Long,2.0,IREN US
ISUL US,Equity,Single Stock,Long,2.0,ISRG
JDST US,Equity,Index/Basket/ETF Based,Short,2.0,
JNUG US,Equity,Index/Basket/ETF Based,Long,2.0,
JOBX US,Equity,Single Stock,Long,2.0,JOBY US
KBAB US,Equity,Single Stock,Long,2.0,BABA US
KBDU US,Equity,Single Stock,Long,2.0,BIDU US
