ticker,fund_name,current_map,expected,status,confidence
CLSZ US,TRADR 2X SHORT CLSK DAILY ETF,CLSK,CLSK US,OK,HIGH
CMGG US,LEVERAGE SHARES 2X LONG CMG DAILY ETF,CMG US,CMG US,OK,HIGH
CNCG US,LEVERAGE SHARES 2X LONG CNC DAILY ETF,CNC US,CNC US,OK,HIGH
COHX US,TRADR 2X LONG COHR DAILY ETF,COHR,COHR US,OK,HIGH
COIA US,PROSHARES ULTRA COIN,COIN US,COIN US,OK,HIGH
COIG US,LEVERAGE SHARES 2X LONG COIN DAILY ETF,COIN US,COIN US,OK,HIGH
COIO US,LEVERAGE SHARES 2X CAPPED ACCELERATED COIN MONTHLY ETF,COIN US,,UNCLEAR,LOW
CONI US,GRANITESHARES 2X SHORT COIN DAILY ETF,COIN US,COIN US,OK,HIGH
CONL US,GRANITESHARES 2X LONG COIN DAILY ETF,COIN US,COIN US,OK,HIGH
CONX US,DIREXION DAILY COIN BULL 2X ETF,BULL US,COIN US,MISMATCH,HIGH
COPZ US,DEFIANCE DAILY TARGET 2X LONG COPPER MINERS ETF,COPX,,UNCLEAR,LOW
CORD US,T-REX 2X INVERSE CRWV DAILY TARGET ETF,CRWV US,CRWV US,OK,HIGH
COTG US,LEVERAGE SHARES 2X LONG COST DAILY ETF,COST,COST US,OK,HIGH
COZX US,TRADR 2X LONG CORZ DAILY ETF,CORZ US,CORZ US,OK,HIGH
CPXR US,USCF DAILY TARGET 2X COPPER INDEX ETF,,,UNCLEAR,LOW
CRCA US,PROSHARES ULTRA CRCL,CRCL US,CRCL US,OK,HIGH
CRCD US,T-REX 2X INVERSE CRCL DAILY TARGET ETF,CRCL US,CRCL US,OK,HIGH
CRCG US,LEVERAGE SHARES 2X LONG CRCL DAILY ETF,CRCL US,CRCL US,OK,HIGH
CRDU US,TRADR 2X LONG CRDO DAILY ETF,CRDO US,CRDO US,OK,HIGH
CRDX US,2X CARDANO ETF,,,UNCLEAR,LOW
CRMG US,LEVERAGE SHARES 2X LONG CRM DAILY ETF,CRM US,CRM US,OK,HIGH
CRMU US,LEVERAGE SHARES 2X LONG CRML DAILY ETF,CRML,CRML US,OK,HIGH
CRMX US,TRADR 2X LONG CRML DAILY ETF,CRML US,CRML US,OK,HIGH
CRWG US,LEVERAGE SHARES 2X LONG CRWV DAILY ETF,CRWV US,CRWV US,OK,HIGH
CRWL US,GRANITESHARES 2X LONG CRWD DAILY ETF,CRWD US,CRWD US,OK,HIGH
CRWU US,T-REX 2X LONG CRWV DAILY TARGET ETF,CRWV US,CRWV US,OK,HIGH
CSCL US,DIREXION DAILY CSCO BULL 2X ETF,CSCO US,CSCO US,OK,HIGH
CSCS US,DIREXION DAILY CSCO BEAR 1X ETF,CSCO US,CSCO US,OK,HIGH
CSEX US,TRADR 2X LONG CLS DAILY ETF,CLS US,CLS US,OK,HIGH
CSM US,PROSHARES LARGE CAP CORE PLUS,,,UNCLEAR,LOW
CURE US,DIREXION DAILY HEALTHCARE BULL 3X ETF,,,UNCLEAR,LOW
CVNX US,DEFIANCE DAILY TARGET 2X LONG CVNA ETF,CVNA US,,UNCLEAR,LOW
CWEB US,DIREXION DAILY CSI CHINA INTERNET INDEX BULL 2X ETF,,,UNCLEAR,LOW
CWVX US,TRADR 2X LONG CRWV DAILY ETF,CRWV US,CRWV US,OK,HIGH
CXRN US,TEUCRIUM 2X DAILY CORN ETF,,,UNCLEAR,LOW
DAGXF US,DB AGRICULTURE DOUBLE LONG EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
DAMD US,DEFIANCE DAILY TARGET 2X SHORT AMD ETF,AMD US,,UNCLEAR,LOW
DDM US,PROSHARES ULTRA DOW30,,,UNCLEAR,LOW
DDPXF US,DB COMMODITY SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
DEENF US,DB COMMODITY DOUBLE SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
DFEN US,DIREXION DAILY AEROSPACE & DEFENSE BULL 3X ETF,,,UNCLEAR,LOW
DGP US,DB GOLD DOUBLE LONG EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
DGZ US,DB GOLD SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
DIG US,PROSHARES ULTRA ENERGY,,ENERGY,UNCLEAR,LOW
DJTU US,T-REX 2X LONG DJT DAILY TARGET ETF,DJTU UA,DJT US,MISMATCH,HIGH
DKNX US,DEFIANCE DAILY TARGET 2X LONG DKNG ETF,DKNG US,,UNCLEAR,LOW
DLLL US,GRANITESHARES 2X LONG DELL DAILY ETF,DELL US,DELL US,OK,HIGH
DNNG US,LEVERAGE SHARES 2X LONG DNN DAILY ETF,DNN,DNN US,OK,HIGH
DOG US,PROSHARES SHORT DOW30,,,UNCLEAR,LOW
DPST US,DIREXION DAILY REGIONAL BANKS BULL 3X ETF,,,UNCLEAR,LOW
DRIP US,DIREXION DAILY S&P OIL & GAS EXP. & PROD. BEAR 2X ETF,,,UNCLEAR,LOW
DRN US,DIREXION DAILY REAL ESTATE BULL 3X ETF,,,UNCLEAR,LOW
DRNL US,DEFIANCE 2X DAILY LONG PURE DRONE AND AERIAL AUTOMATION ETF,,,UNCLEAR,LOW
DRV US,DIREXION DAILY REAL ESTATE BEAR 3X ETF,,,UNCLEAR,LOW
DUG US,PROSHARES ULTRASHORT ENERGY,,ENERGY,UNCLEAR,LOW
