ticker,fund_name,current_map,expected,status,confidence
DECT US,ALLIANZIM US EQUITY BUFFER10 DEC ETF,Buffer,Buffer,OK,HIGH
DECU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED DEC ETF,Buffer,Buffer,OK,HIGH
DECW US,ALLIANZIM US EQ BUFFER20 DEC,Buffer,Buffer,OK,HIGH
DECZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME DECEMBER ETF,Outcome,Outcome,OK,HIGH
DFEB US,FT VEST US EQUITY DEEP BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
DGJA US,FT VEST US EQUITY BUFFER & DIGITAL RETURN ETF - JANUARY,Buffer,Buffer,OK,HIGH
DGOC US,FT VEST US EQUITY BUFFER & DIGITAL RETURN ETF - OCTOBER,Buffer,Buffer,OK,HIGH
DHDG US,FT VEST US EQUITY QUARTERLY 2.5 TO 15 BUFFER ETF,Buffer,Buffer,OK,HIGH
DHSB US,DAY HAGAN SMART BUFFER ETF,Buffer,Buffer,OK,HIGH
DJAN US,FT VEST U.S. EQUITY DEEP BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
DJUL US,FT VEST US EQUITY DEEP BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
DJUN US,FT VEST US EQUITY DEEP BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
DLAG US,FT VEST US EQUITY DUAL DIRECTIONAL BUFFER ETF - AUGUST,Buffer,Dual Buffer,MISMATCH,HIGH
DLFE US,FT VEST US EQUITY DUAL DIRECTIONAL BUFFER ETF - FEBRUARY,Dual Buffer,Dual Buffer,OK,HIGH
DLNV US,FT VEST US EQUITY DUAL DIRECTIONAL BUFFER ETF - NOVEMBER,Buffer,Dual Buffer,MISMATCH,HIGH
DMAR US,FT VEST US EQUITY DEEP BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
DMAX US,ISHARES LARGE CAP MAX BUFFER DEC ETF,Buffer,Buffer,OK,HIGH
DMAY US,FT VEST US EQUITY DEEP BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
DNOV US,FT VEST US EQUITY DEEP BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
DOCT US,FT VEST US EQUITY DEEP BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
DRSK US,APTUS DEFINED RISK ETF,Defined Risk,Defined Risk,OK,MEDIUM
