ticker,fund_name,etp_category,current_issuer,suggested_brand
497780 KS,SAMSUNGACTIVE KOACT US NATURAL GAS INFRASTRUCTURE ACTIVE ETF,,Samsung Asset Management Co Lt,SAMSUNGACTIVE
AAA US,ALTERNATIVE ACCESS FIRST PRIORITY CLO BOND ETF,,Investment Managers Series Tru,ALTERNATIVE
ABCS US,ALPHA BLUE CAPITAL US SMALL-MID CAP DYNAMIC ETF,,EA Series Trust,ALPHA
ABEQ US,ABSOLUTE SELECT VALUE ETF,,Unified Series Trust/Absolute,ABSOLUTE
ABIG US,ARGENT LARGE CAP ETF,,EA Series Trust,ARGENT
ACEP US,ARS CORE EQUITY PORTFOLIO ETF,,EA Series Trust/Empowered Fund,ARS
ACSI US,AMERICAN CUSTOMER SATISFACTION ETF,,Tidal Trust I,AMERICAN
ACVF US,AMERICAN CONSERVATIVE VALUES ETF,,ETF Opportunities Trust/Ridgel,AMERICAN
ACVT US,ADVENT CONVERTIBLE BOND ETF,,RBB Fund Trust/The,ADVENT
ADFI US,ANFIELD DYNAMIC FIXED INCOME ETF,,Two Roads Shared Trust/Anfield,ANFIELD
AESR US,ANFIELD US EQUITY SECTOR ROTATION ETF,,Horizon Funds,ANFIELD
AFIF US,ANFIELD UNIVERSAL FIXED INCOME ETF,,Horizon Funds,ANFIELD
AFIX US,ALLSPRING BROAD MARKET CORE BOND ETF,,Allspring Funds Management LLC,ALLSPRING
AFOS US,ARS FOCUSED OPPORTUNITIES STRATEGY ETF,,EA Series Trust/Empowered Fund,ARS
AGFXF US,DB AGRICULTURE LONG EXCHANGE TRADED NOTES,,DB ETNs/USA,DB
AGGA US,EA ASTORIA BEACON DYNAMIC CORE US FIXED INCOME ETF,,EA Series Trust,EA
AGGZ US,TWIN OAK ENHANCED FIXED INCOME ETF,,Twin Oak ETF Co/USA,TWIN
AGOX US,ADAPTIVE ALPHA OPPORTUNITIES ETF,,Starboard Investment Trust,ADAPTIVE
AGRW US,ALLSPRING LT LARGE GROWTH ETF,,Allspring Funds Management LLC,ALLSPRING
AINP US,ALLSPRING INCOME PLUS ETF,,Allspring Funds Management LLC,ALLSPRING
AKAF US,THE FRONTIER ECONOMIC FUND,,ETF Series Solutions,FRONTIER
AKRE US,AKRE FOCUS ETF,,Professionally Managed Portfol,AKRE
ALIL US,ARGENT FOCUSED SMALL CAP ETF,,EA Series Trust,ARGENT
ALRG US,ALLSPRING LT LARGE CORE ETF,,Allspring Funds Management LLC,ALLSPRING
AMAX US,ADAPTIVE HEDGED MULTI-ASSET INCOME ETF,,Starboard Investment Trust,ADAPTIVE
AMEI US,AMANA EQUITY INCOME ETF,,Amana Mutual Funds Trust,AMANA
AMEM US,AMANA DEVELOPING WORLD ETF,,Amana Mutual Funds Trust,AMANA
AMGR US,AMANA GROWTH ETF,,Amana Mutual Funds Trust,AMANA
AMID US,ARGENT MID CAP ETF,,EA Series Trust,ARGENT
AMJB US,ALERIAN MLP INDEX ETNS DUE JANUARY 28 2044,,JP Morgan ETNs/USA,ALERIAN
AMLP US,ALERIAN MLP ETF,,ALPS ETF Trust,ALERIAN
AMOM US,QRAFT AI-ENHANCED US LARGE CAP MOMENTUM ETF,,Exchange Listed Funds Trust,QRAFT
AOHY US,ANGEL OAK HIGH YIELD OPPORTUNITIES ETF,,Angel Oak Funds Trust,ANGEL
APCB US,ACTIVEPASSIVE CORE BOND ETF,,Trust For Professional Manager,ACTIVEPASSIVE
APIE US,ACTIVEPASSIVE INTERNATIONAL EQUITY ETF,,Trust For Professional Manager,ACTIVEPASSIVE
APLU US,ALLSPRING CORE PLUS ETF,,Allspring Funds Management LLC,ALLSPRING
APMU US,ACTIVEPASSIVE INTERMEDIATE MUNICIPAL BOND ETF,,Trust For Professional Manager,ACTIVEPASSIVE
APUE US,ACTIVEPASSIVE US EQUITY ETF,,Trust For Professional Manager,ACTIVEPASSIVE
AQEC US,AQE CORE ETF,,ETF Opportunities Trust/Arling,AQE
AQLG US,HCM LARGE CAP GROWTH ETF,,ETF Opportunities Trust/Highla,HCM
ARB US,ALTSHARES MERGER ARBITRAGE ETF,,AltShares Trust,ALTSHARES
ARIA US,ARIA OPPORTUNITIES ETF,,Exchange Listed Funds Trust,ARIA
ARMH US,ARM HOLDINGS PLC ADRHEDGED,,Precidian ETFs Trust,ARM
ARP US,PMV ADAPTIVE RISK PARITY ETF,,Advisors' Inner Circle Fund II,PMV
ASCE US,ALLSPRING SMID CORE ETF,,Allspring Funds Management LLC,ALLSPRING
ASLV US,ALLSPRING SPECIAL LARGE VALUE ETF,,Allspring Funds Management LLC,ALLSPRING
ASMH US,ASML HOLDING NV ADRHEDGED TM,,Precidian ETFs Trust,ASML
ATTR US,ARIN TACTICAL TAIL RISK ETF,,EA Series Trust,ARIN
AUSM US,ALLSPRING ULTRA SHORT MUNICIPAL ETF,,Allspring Funds Management LLC,ALLSPRING
AZTD US,AZTLAN GLOBAL STOCK SELECTION DM SMID ETF,,Tidal Trust I,AZTLAN
BAMA US,BROOKSTONE ACTIVE ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMB US,BROOKSTONE INTERMEDIATE BOND ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMD US,BROOKSTONE DIVIDEND STOCK ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMG US,BROOKSTONE GROWTH STOCK ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMO US,BROOKSTONE OPPORTUNITIES ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMU US,BROOKSTONE ULTRA-SHORT BOND ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMV US,BROOKSTONE VALUE STOCK ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMY US,BROOKSTONE YIELD ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BBHL US,BBH SELECT LARGE CAP ETF,,BBH Trust,BBH
BBHM US,BBH SELECT MID CAP ETF,,BBH Trust,BBH
BBLU US,EA BRIDGEWAY BLUE CHIP ETF,,EA Series Trust,EA
BCHP US,PRINCIPAL FOCUSED BLUE CHIP ETF,,Principal Exchange-Traded Fund,PRINCIPAL
BCKT US,LIFEX 2030 INCOME BUCKET ETF,,Stone Ridge Trust,LIFEX
BDBT US,BLUEMONTE CORE BOND ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BDGS US,BRIDGES CAPITAL TACTICAL ETF,,Three Bridges Capital LP/USA,BRIDGES
BDRY US,BREAKWAVE DRY BULK SHIPPING ETF,,Amplify Commodity Trust,BREAKWAVE
BDVG US,IMGP BERKSHIRE DIVIDEND GROWTH ETF,,Litman Gregory Funds Trust,IMGP
BEEX US,THE BEEHIVE ETF,,Tidal Trust III,BEEHIVE
BEEZ US,HONEYTREE US EQUITY ETF,,EA Series Trust,HONEYTREE
BESF US,BASTION ENERGY ETF,,EA Series Trust,BASTION
BFIX US,BUILD BOND INNOVATION ETF,,Build Funds Trust,BUILD
BFOR US,BARRON'S 400 ETF,,ALPS ETF Trust,BARRON'S
BGCG US,BAILLIE GIFFORD INTERNATIONAL CONCENTRATED GROWTH ETF,,Baillie Gifford ETF Trust,BAILLIE
BGDV US,BAHL & GAYNOR DIVIDEND ETF,,ETF Series Solutions/Bahl & Ga,BAHL
BGEG US,BAILLIE GIFFORD EMERGING MARKETS ETF,,Baillie Gifford ETF Trust,BAILLIE
BGGG US,BAILLIE GIFFORD LONG TERM GLOBAL GROWTH ETF,,Baillie Gifford ETF Trust,BAILLIE
BGIA US,BAILLIE GIFFORD INTERNATIONAL ALPHA ETF,,Baillie Gifford ETF Trust,BAILLIE
BGIG US,BAHL & GAYNOR INCOME GROWTH ETF,,ETF Series Solutions/Bahl & Ga,BAHL
BINT US,BLUEMONTE GLOBAL EQUITY ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BINV US,BRANDES INTERNATIONAL ETF,,Brandes Funds/USA,BRANDES
BLGR US,BLUEMONTE LARGE CAP GROWTH ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BLST US,BLUEMONTE SHORT TERM BOND ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BLTD US,BLUEMONTE LONG TERM BOND ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BLUC US,BLUEMONTE LARGE CAP CORE ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BLUI US,BLUEMONTE DIVERSIFIED INCOME ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BLUX US,BLUEMONTE DYNAMIC TOTAL MARKET ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BNDD US,QUADRATIC DEFLATION ETF,,KraneShares Trust,QUADRATIC
BNO US,UNITED STATES BRENT OIL FUND LP,,United States Commodities ETFs,UNITED
BOBP US,CORE16 BEST OF BREED PREMIER INDEX ETF,,Exchange-Traded Concepts ETFs/,CORE16
BOUT US,CAPFORCE IBD BREAKOUT OPPORTUNITIES ETF,,Capital-Force ETF Trust,CAPFORCE
BPH US,BP P.L.C. ADRHEDGED,,Precidian ETFs Trust,BP
BSCL US,BILI SOCIAL INTERNATIONAL INC,,,BILI
BSMC US,BRANDES U.S. SMALL-MID CAP VALUE ETF,,Brandes Funds/USA,BRANDES
BSR US,BEACON UNIFIED CATALYST ETF,,Northern Lights Fund Trust II/,BEACON
BSVO US,EA BRIDGEWAY OMNI SMALL-CAP VALUE ETF,,EA Series Trust,EA
BTAL US,AGF US MARKET NEUTRAL ANTI-BETA FUND,,AGF Investments Trust,AGF
BTGD US,STKD 100% BITCOIN & 100% GOLD ETF,,Tidal Trust II,STKD
BTR US,BEACON TACTICAL RISK ETF,,Northern Lights Fund Trust II/,BEACON
BUDH US,ANHEUSER-BUSCH INBEV SA/NV ADRHEDGED,,Precidian ETFs Trust,ANHEUSER-BUSCH
BUSA US,BRANDES U.S. VALUE ETF,,Brandes Funds/USA,BRANDES
BVAL US,BLUEMONTE LARGE CAP VALUE ETF,,Exchange-Traded Concepts ETFs/,BLUEMONTE
BWET US,BREAKWAVE TANKER SHIPPING ETF,,Amplify Commodity Trust,BREAKWAVE
BWQG US,BWM QUALITY GROWTH ETF,,EA Series Trust,BWM
BWTG US,BRENDAN WOOD TOPGUN ETF,,ETF Opportunities Trust/Tuttle,BRENDAN
BYRE US,PRINCIPAL REAL ESTATE ACTIVE OPPORTUNITIES ETF,,Principal Exchange-Traded Fund,PRINCIPAL
CAFX US,CONGRESS INTERMEDIATE BOND ETF,,Professionally Managed Portfol,CONGRESS
CAML US,CONGRESS LARGE CAP GROWTH ETF,,Professionally Managed Portfol,CONGRESS
CAMX US,CAMBIAR AGGRESSIVE VALUE ETF,,Advisors' Inner Circle Fund/Ca,CAMBIAR
CARK US,CASTLEARK LARGE GROWTH ETF,,Advisors' Inner Circle Fund II,CASTLEARK
CARY US,ANGEL OAK INCOME ETF,,Angel Oak Funds Trust,ANGEL
CBLS US,CLOUGH HEDGED EQUITY ETF,,Elevation Series Trust/Clough,CLOUGH
CBSE US,CLOUGH SELECT EQUITY ETF,,Elevation Series Trust/Clough,CLOUGH
CCFE US,CONCOURSE CAPITAL FOCUSED EQUITY ETF,,EA Series Trust,CONCOURSE
CCOR US,CORE ALTERNATIVE ETF,,Listed Funds Trust,CORE
CDEI US,CALVERT US LARGE-CAP DIVERSITY EQUITY AND INCLUSION INDEX ETF,,Morgan Stanley Etf Trust,CALVERT
CDIG US,CITY DIFFERENT INVESTMENTS GLOBAL EQUITY ETF,,EA Series Trust,CITY
CEFS US,SABA CLOSED-END FUNDS ETF,,Exchange-Traded Concepts ETFs/,SABA
CEFZ US,RIVERNORTH ACTIVE INCOME ETF,,Elevation Series Trust,RIVERNORTH
CGBL US,CAPITAL GROUP CORE BALANCED ETF,,Capital Group/ETFs,CAPITAL
CGCB US,CAPITAL GROUP CORE BOND ETF,,Capital Group Fixed Income ETF,CAPITAL
CGCP US,CAPITAL GROUP CORE PLUS INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGCV US,CAPITAL GROUP CONSERVATIVE EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGDG US,CAPITAL GROUP DIVIDEND GROWERS ETF,,Capital Group/ETFs,CAPITAL
CGDV US,CAPITAL GROUP DIVIDEND VALUE ETF,,Capital Group/ETFs,CAPITAL
CGGE US,CAPITAL GROUP GLOBAL EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGGG US,CAPITAL GROUP LARGE GROWTH ETF,,Capital Group Equity Etf Trust,CAPITAL
CGGO US,CAPITAL GROUP GLOBAL GROWTH EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGGR US,CAPITAL GROUP GROWTH ETF,,Capital Group/ETFs,CAPITAL
CGHM US,CAPITAL GROUP MUNICIPAL HIGH-INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGHY US,CAPITAL GROUP HIGH YIELD BOND ETF,,Capital Group Fixed Income ETF,CAPITAL
CGIB US,CAPITAL GROUP INTERNATIONAL BOND ETF USD-HEDGED,,Capital Group Fixed Income ETF,CAPITAL
CGIC US,CAPITAL GROUP INTERNATIONAL CORE EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGIE US,CAPITAL GROUP INTERNATIONAL EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGMM US,CAPITAL GROUP US SMALL AND MID CAP ETF,,Capital Group Equity Etf Trust,CAPITAL
CGMS US,CAPITAL GROUP US MULTI-SECTOR INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGMU US,CAPITAL GROUP MUNICIPAL INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGNG US,CAPITAL GROUP NEW GEOGRAPHY EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGRO US,COREVALUES ALPHA GREATER CHINA GROWTH ETF,,Tidal Trust II,COREVALUES
CGSD US,CAPITAL GROUP SHORT DURATION INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGSM US,CAPITAL GROUP SHORT DURATION MUNICIPAL INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGUI US,CAPITAL GROUP ULTRA SHORT INCOME ETF,,Capital Group Fixed Income ETF,CAPITAL
CGUS US,CAPITAL GROUP CORE EQUITY ETF,,Capital Group/ETFs,CAPITAL
CGV US,CONDUCTOR GLOBAL EQUITY VALUE ETF,,Two Roads Shared Trust/IronHor,CONDUCTOR
CGVV US,CAPITAL GROUP LARGE VALUE ETF,,Capital Group Equity Etf Trust,CAPITAL
CGXU US,CAPITAL GROUP INTERNATIONAL FOCUS EQUITY ETF,,Capital Group/ETFs,CAPITAL
CIRC US,CIRCLE8 GROUP INC,,,CIRCLE8
CLCG US,CROSSMARK LARGE CAP GROWTH ETF,,Crossmark ETF Trust,CROSSMARK
CLCV US,CROSSMARK LARGE CAP VALUE ETF,,Crossmark ETF Trust,CROSSMARK
CLOX US,ELDRIDGE AAA CLO ETF,,Series Portfolio Trust/Eldridg,ELDRIDGE
CLOZ US,ELDRIDGE BBB-B CLO ETF,,Series Portfolio Trust/Eldridg,ELDRIDGE
CLSE US,CONVERGENCE LONG/SHORT EQUITY ETF,,Convergence Investment Partner,CONVERGENCE
CLSM US,EXCHANGE LISTED FUNDS TRUST ETC CABANA TARGET LEADING SECTOR MODERATE ETF,,Exchange Listed Funds Trust,EXCHANGE
CMBO US,WAYFINDER DYNAMIC US INTEREST RATE ETF,,RBB Fund Trust/The,WAYFINDER
CNAV US,MOHR COMPANY NAV ETF,,Collaborative Investment Serie,MOHR
COAL US,RANGE GLOBAL COAL INDEX ETF,,Exchange-Traded Concepts Trust,RANGE
CPAI US,COUNTERPOINT QUANTITATIVE EQUITY ETF,,Northern Lights Fund Trust III,COUNTERPOINT
CPER US,UNITED STATES COPPER INDEX FUND,,United States Commodities ETFs,UNITED
CREF US,WHITEWOLF COMMERCIAL REAL ESTATE FINANCE INCOME ETF,,EA Series Trust,WHITEWOLF
CSMD US,CONGRESS SMID GROWTH ETF,,Professionally Managed Portfol,CONGRESS
CTEF US,CASTELLAN TARGETED EQUITY ETF,,EA Series Trust,CASTELLAN
CTIF US,CASTELLAN TARGETED INCOME ETF,,EA Series Trust,CASTELLAN
CTWO US,COTWO ADVISORS PHYSICAL EUROPEAN CARBON ALLOWANCE TRUST,,Cotwo Advisors LLC/The,COTWO
CVAR US,CULTIVAR ETF,,ETF Opportunities Trust/Cultiv,CULTIVAR
CVGD US,CRESALTA GLOBAL DIVIDEND ETF,,Elevation Series Trust/CresAlt,CRESALTA
CVIE US,CALVERT INTERNATIONAL RESPONSIBLE INDEX ETF,,Morgan Stanley Etf Trust,CALVERT
CVLC US,CALVERT US LARGE-CAP CORE RESPONSIBLE INDEX ETF,,Morgan Stanley Etf Trust,CALVERT
CVMC US,CALVERT US MID-CAP CORE RESPONSIBLE INDEX ETF,,Morgan Stanley Etf Trust,CALVERT
CVSB US,CALVERT ULTRA-SHORT INVESTMENT GRADE ETF,,Morgan Stanley Etf Trust,CALVERT
CVSM US,CRESALTA SMALL AND MID-CAP ETF,,Elevation Series Trust/CresAlt,CRESALTA
DAK US,DAKOTA ACTIVE EQUITY ETF,,EA Series Trust,DAKOTA
DANA US,DANA LIMITED VOLATILITY ETF,,Tidal Trust I,DANA
DBMF US,IMGP DBI MANAGED FUTURES STRATEGY ETF,,Litman Gregory Funds Trust,IMGP
DDV US,DEFINED DURATION 5 ETF,,EA Series Trust,DEFINED
DDX US,DEFINED DURATION 10 ETF,,EA Series Trust,DEFINED
DDXX US,DEFINED DURATION 20 ETF,,EA Series Trust,DEFINED
DEEP US,ACQUIRERS SMALL AND MICRO DEEP VALUE ETF,,ETF Series Solutions,ACQUIRERS
DEMZ US,DEMOCRATIC LARGE CAP CORE ETF,,Advisors' Inner Circle Fund II,DEMOCRATIC
DEOH US,DIAGEO PLC ADRHEDGED,,Precidian ETFs Trust,DIAGEO
DFMC US,US MICRO CAP PORTFOLIO ETF,CC,DFA Investment Dimensions Grou,MICRO
DFNL US,DAVIS SELECT FINANCIAL ETF,,Davis Fundamental ETF Trust,DAVIS
DFTT US,DF TACTICAL 30 ETF,,Northern Lights Fund Trust/Don,DF
DHLX US,DIAMOND HILL LARGE CAP CONCENTRATED ETF,,Diamond Hill ETFs/USA,DIAMOND
DINT US,DAVIS SELECT INTERNATIONAL ETF,,Davis Fundamental ETF Trust,DAVIS
DIVD US,ALTRIUS GLOBAL DIVIDEND ETF,,EA Series Trust,ALTRIUS
DIVE US,DANA CONCENTRATED DIVIDEND ETF,,Tidal Trust I,DANA
DRAI US,DRACO EVOLUTION AI ETF,,EA Series Trust,DRACO
DRMY US,XFUNDS MEMORY INCOME ETF,Thematic,Tidal Trust II,XFUNDS
DSMC US,DISTILLATE SMALL/MID CASH FLOW ETF,,ETF Series Solutions/Distillat,DISTILLATE
DSTL US,DISTILLATE US FUNDAMENTAL STABILITY & VALUE ETF,,ETF Series Solutions/Distillat,DISTILLATE
DSTX US,DISTILLATE INTERNATIONAL FUNDAMENTAL STABILITY & VALUE ETF,,ETF Series Solutions/Distillat,DISTILLATE
DTAN US,SPARKLINE INTERNATIONAL INTANGIBLE VALUE ETF,,EA Series Trust,SPARKLINE
DUKH US,OCEAN PARK HIGH INCOME ETF,,Northern Lights Fund Trust/Oce,OCEAN
DUKQ US,OCEAN PARK DOMESTIC ETF,,Northern Lights Fund Trust/Oce,OCEAN
DUKX US,OCEAN PARK INTERNATIONAL ETF,,Northern Lights Fund Trust/Oce,OCEAN
DUKZ US,OCEAN PARK DIVERSIFIED INCOME ETF,,Northern Lights Fund Trust/Oce,OCEAN
DUNK US,DANA UNCONSTRAINED EQUITY ETF,,Tidal Trust I,DANA
DUSA US,DAVIS SELECT US EQUITY ETF,,Davis Fundamental ETF Trust,DAVIS
DUTY US,US DEFENSE ETF,,Tidal Trust III,DEFENSE
DVAL US,BRANDYWINEGLOBAL DYNAMIC US LARGE CAP VALUE ETF,,Franklin Templeton ETF Trust,BRANDYWINEGLOBAL
DVDN US,KINGSBARN DIVIDEND OPPORTUNITY ETF,,ETF Opportunities Trust/Kingsb,KINGSBARN
DVGR US,DAC 3D DIVIDEND GROWTH ETF,,EA Series Trust,DAC
DWLD US,DAVIS SELECT WORLDWIDE ETF,,Davis Fundamental ETF Trust,DAVIS
DWWN US,PRINCIPAL LONG DURATION ETF,,Principal Exchange-Traded Fund,PRINCIPAL
DYLD US,LEADERSHARES DYNAMIC YIELD ETF,,Two Roads Shared Trust/Redwood,LEADERSHARES
EAGL US,EAGLE CAPITAL SELECT EQUITY ETF,,2023 ETF Series Trust/The,EAGLE
EASY US,LIBERTY ONE DEFENSIVE DIVIDEND GROWTH ETF,,Two Roads Shared Trust/Liberty,LIBERTY
EBI US,LONGVIEW ADVANTAGE ETF,,RBB Fund Trust/The,LONGVIEW
ECML US,EUCLIDEAN FUNDAMENTAL VALUE ETF,,Euclidean Technologies Managem,EUCLIDEAN
EDGF US,3EDGE DYNAMIC FIXED INCOME ETF,,Advisors' Inner Circle Fund II,3EDGE
EDGH US,3EDGE DYNAMIC HARD ASSETS ETF,,Advisors' Inner Circle Fund II,3EDGE
EDGI US,3EDGE DYNAMIC INTERNATIONAL EQUITY ETF,,Advisors' Inner Circle Fund II,3EDGE
EDGU US,3EDGE DYNAMIC US EQUITY ETF,,Advisors' Inner Circle Fund II,3EDGE
EEEE US,4E QUALITY GROWTH ETF,,Tidal Trust III,QUALITY
EHLS US,EVEN HERD LONG SHORT ETF,,Tidal Trust II,EVEN
ELKD US,ELKHORN FTSE RAFI DEVELOPED EX-U.S. EQUITY INCOME ETF,,Elkhorn ETF Trust,ELKHORN
ELKE US,ELKHORN FTSE RAFI EMERGING EQUITY INCOME ETF,,Elkhorn ETF Trust,ELKHORN
ELM US,ELM MARKET NAVIGATOR ETF,,Series Portfolios Trust,ELM
EMEM US,SOPHUS CAPITAL EMERGING MARKET ETF,,EA Series Trust,SOPHUS
EMPB US,EFFICIENT MARKET PORTFOLIO PLUS ETF,,EA Series Trust,EFFICIENT
EMSC US,SOPHUS CAPITAL EMERGING MARKET SMALL CAP ETF,,EA Series Trust,SOPHUS
ENRG US,NINEPOINT ENERGY ETF,Thematic,Tidal Trust III,NINEPOINT
EQTY US,KOVITZ CORE EQUITY ETF,,Valued Advisers Trust/Kovitz I,KOVITZ
ESN US,ESSENTIAL 40 STOCK ETF,,Northern Lights Fund Trust II/,ESSENTIAL
ETFF US,ETF 50,,Amplify Commodity Trust,ETF
ETFT US,FUNDSMITH EQUITY ETF,,ALPS Series Trust/Fundsmith In,FUNDSMITH
EVNT US,ALTSHARES EVENT-DRIVEN ETF,,AltShares Trust,ALTSHARES
EZMO US,ALPHADROID BROAD MARKETS MOMENTUM ETF,,Listed Funds Trust/Teucrium In,ALPHADROID
EZRO US,ALPHADROID DEFENSIVE SECTOR ROTATION ETF,,Listed Funds Trust/Teucrium In,ALPHADROID
FARX US,FRONTIER ASSET ABSOLUTE RETURN ETF,,Frontier ETFs/USA,FRONTIER
FCBD US,FRONTIER ASSET CORE BOND ETF,,Frontier ETFs/USA,FRONTIER
FCTE US,SMI 3FOURTEEN FULL-CYCLE TREND ETF,,ETF Opportunities Trust/3Fourt,SMI
FCUS US,PINNACLE FOCUSED OPPORTUNITIES ETF,,Tidal Trust II,PINNACLE
FDAT US,TACTICAL ADVANTAGE ETF,,Tidal Trust II,TACTICAL
FDIV US,MARKETDESK FOCUSED US DIVIDEND ETF,,EA Series Trust,MARKETDESK
FFIU US,UVA UNCONSTRAINED MEDIUM-TERM FIXED INCOME ETF,,Spinnaker ETF Trust,UVA
FFLS US,FUTURE FUND LONG/SHORT ETF/THE,,Northern Lights Fund Trust II/,FUTURE
FFND US,ONE GLOBAL ETF,,Northern Lights Fund Trust II/,ONE
FFOX US,FUNDX FUTURE FUND OPPORTUNITIES ETF,,FundX Investment Trust,FUNDX
FFTY US,CAPFORCE IBD 50 ETF,,Capital-Force ETF Trust,CAPFORCE
FGSM US,FRONTIER ASSET GLOBAL SMALL CAP EQUITY ETF,,Advisors' Inner Circle Fund II,FRONTIER
FINT US,FRONTIER ASSET TOTAL INTERNATIONAL EQUITY ETF,,Frontier ETFs/USA,FRONTIER
FISN US,DEEP FISSION INC,,Surfside Acquisition Inc,DEEP
FITZ US,FITZ-GERALD MUST HAVE PORTFOLIO ETF,,Tidal Trust II,FITZ-GERALD
FIXP US,FOLIOBEYOND ENHANCED FIXED INCOME PREMIUM ETF,,Tidal Trust I,FOLIOBEYOND
FLCE US,FRONTIER ASSET US LARGE CAP EQUITY ETF,,Frontier ETFs/USA,FRONTIER
FMTM US,MARKETDESK FOCUSED US MOMENTUM ETF,,EA Series Trust,MARKETDESK
FOPC US,FRONTIER ASSET OPPORTUNISTIC CREDIT ETF,,Frontier ETFs/USA,FRONTIER
FORH US,FORMIDABLE ETF,,ETF Opportunities Trust/Formid,FORMIDABLE
FPAA US,FPA GLOBAL ALLOCATION ETF,,Investment Managers Series Tru,FPA
FPAG US,FPA GLOBAL EQUITY ETF,,Northern Lights Fund Trust III,FPA
FPAS US,FPA SHORT DURATION GOVERNMENT ETF,,Investment Managers Series Tru,FPA
FRDM US,FREEDOM 100 EMERGING MARKETS ETF,,EA Series Trust,FREEDOM
GAGE US,AZORIA GOLDEN AGE ETF,Thematic,Tidal Trust III,AZORIA
GDMA US,GADSDEN DYNAMIC MULTI-ASSET ETF,,EA Series Trust,GADSDEN
GEME US,PACIFIC NOS GLOBAL EM EQUITY ACTIVE ETF,,Pacific Asset Management/Paren,PACIFIC
GEND US,GENTER CAPITAL DIVIDEND INCOME ETF,,Spinnaker ETF Trust,GENTER
GENM US,GENTER CAPITAL MUNICIPAL QUALITY INTERMEDIATE ETF,,Spinnaker ETF Trust,GENTER
GENT US,GENTER CAPITAL TAXABLE QUALITY INTERMEDIATE ETF,,Spinnaker ETF Trust,GENTER
GENW US,GENTER CAPITAL INTERNATIONAL DIVIDEND ETF,,Spinnaker ETF Trust,GENTER
GFGF US,GURU FAVORITE STOCKS ETF,,EA Series Trust,GURU
GGM US,GGM MACRO ALIGNMENT ETF,,Northern Lights Fund Trust II/,GGM
GHTA US,GOOSE HOLLOW TACTICAL ALLOCATION ETF,,Collaborative Investment Serie,GOOSE
GISC US,GUGGENHEIM SECURITIZED INCOME ETF,,Guggenheim ETFs/USA,GUGGENHEIM
GKAT US,SCHARF GLOBAL OPPORTUNITY ETF,,Advisors Series Trust/Scharf I,SCHARF
GLCR US,GLACIERSHARES NASDAQ ICELAND ETF,,Listed Funds Trust/Teucrium In,GLACIERSHARES
GMMA US,GAMMAROAD MARKET NAVIGATION ETF,,Tidal Trust III,GAMMAROAD
GOP US,UNUSUAL WHALES SUBVERSIVE REPUBLICAN TRADING ETF,,Series Portfolio Trust/Subvers,UNUSUAL
GPT US,INTELLIGENT ALPHA ATLAS ETF,,EA Series Trust/Empowered Fund,INTELLIGENT
GQGU US,GQG US EQUITY ETF,,Advisors Inner Circle Fund III,GQG
GRBD US,GLOBAL BETA CHINA GREEN BOND ETF,,Global Beta ETF Trust,GLOBAL
GRNJ US,FUNDSTRAT GRANNY SHOTS US SMALL- & MID-CAP ETF,,Tidal Trust III,FUNDSTRAT
GRNY US,FUNDSTRAT GRANNY SHOTS US LARGE CAP ETF,,Tidal Trust III,FUNDSTRAT
GROZ US,ZACKS FOCUS GROWTH ETF,,Zacks Trust,ZACKS
GSCE US,GS CONNECT S&P GSCI ENHANCED COMMODITY TOTAL RETURN STRATEGY INDEX ETN,,Goldman Sachs ETNs/USA,GS
GSKH US,GSK PLC ADRHEDGED,,Precidian ETFs Trust,GSK
GSPY US,GOTHAM ENHANCED 500 ETF,,Tidal Trust I,GOTHAM
