ticker,etp_category,is_primary,source
BJUL US,Defined,1,manual
BJUN US,Defined,1,manual
BMAR US,Defined,1,manual
BMAY US,Defined,1,manual
BNOV US,Defined,1,manual
BOCT US,Defined,1,manual
BSEP US,Defined,1,manual
BSTP US,Defined,1,manual
BUFB US,Defined,1,manual
BUFC US,Defined,1,manual
BUFD US,Defined,1,manual
BUFF US,Defined,1,manual
BUFG US,Defined,1,manual
BUFH US,Defined,1,manual
BUFI US,Defined,1,manual
BUFM US,Defined,1,manual
BUFP US,Defined,1,manual
BUFQ US,Defined,1,manual
BUFR US,Defined,1,manual
BUFS US,Defined,1,manual
BUFT US,Defined,1,manual
BUFX US,Defined,1,manual
BUFY US,Defined,1,manual
BUFZ US,Defined,1,manual
CBOA US,Defined,1,manual
CBOJ US,Defined,1,manual
CBOL US,Defined,1,manual
CBOO US,Defined,1,manual
CBOY US,Defined,1,manual
CBTA US,Defined,1,manual
CBTJ US,Defined,1,manual
CBTL US,Defined,1,manual
CBTO US,Defined,1,manual
CBTY US,Defined,1,manual
CBXA US,Defined,1,manual
CBXJ US,Defined,1,manual
CBXL US,Defined,1,manual
CBXO US,Defined,1,manual
CBXY US,Defined,1,manual
CPNJ US,Defined,1,manual
CPNM US,Defined,1,manual
CPNQ US,Defined,1,manual
CPNS US,Defined,1,manual
CPRA US,Defined,1,manual
CPRJ US,Defined,1,manual
CPRO US,Defined,1,manual
CPRY US,Defined,1,manual
CPSA US,Defined,1,manual
CPSD US,Defined,1,manual
CPSF US,Defined,1,manual
CPSJ US,Defined,1,manual
CPSL US,Defined,1,manual
CPSM US,Defined,1,manual
CPSN US,Defined,1,manual
CPSO US,Defined,1,manual
CPSP US,Defined,1,manual
CPSR US,Defined,1,manual
CPST US,Defined,1,manual
CPSU US,Defined,1,manual
CPSY US,Defined,1,manual
DAPR US,Defined,1,manual
DAUG US,Defined,1,manual
DDEC US,Defined,1,manual
DDFD US,Defined,1,manual
DDFJ US,Defined,1,manual
DDFL US,Defined,1,manual
DDFN US,Defined,1,manual
DDFO US,Defined,1,manual
DDFS US,Defined,1,manual
DDNQ US,Defined,1,manual
DDSQ US,Defined,1,manual
DDTD US,Defined,1,manual
DDTJ US,Defined,1,manual
DDTL US,Defined,1,manual
DDTN US,Defined,1,manual
DDTO US,Defined,1,manual
DDTS US,Defined,1,manual
DECM US,Defined,1,manual
DECP US,Defined,1,manual
DECT US,Defined,1,manual
DECU US,Defined,1,manual
DECW US,Defined,1,manual
DECZ US,Defined,1,manual
DFEB US,Defined,1,manual
DGOC US,Defined,1,manual
DHDG US,Defined,1,manual
DHSB US,Defined,1,manual
DJAN US,Defined,1,manual
DJUL US,Defined,1,manual
DJUN US,Defined,1,manual
DLAG US,Defined,1,manual
DLNV US,Defined,1,manual
DMAR US,Defined,1,manual
DMAX US,Defined,1,manual
DMAY US,Defined,1,manual
DNOV US,Defined,1,manual
DOCT US,Defined,1,manual
DRSK US,Defined,1,manual
DSEP US,Defined,1,manual
DVIN US,Defined,1,manual
DVQQ US,Defined,1,manual
DVRE US,Defined,1,manual
DVSP US,Defined,1,manual
DVUT US,Defined,1,manual
DVXB US,Defined,1,manual
DVXC US,Defined,1,manual
DVXE US,Defined,1,manual
DVXF US,Defined,1,manual
DVXK US,Defined,1,manual
DVXP US,Defined,1,manual
DVXV US,Defined,1,manual
DVXY US,Defined,1,manual
EALT US,Defined,1,manual
EAPR US,Defined,1,manual
EBUF US,Defined,1,manual
EJAN US,Defined,1,manual
EJUL US,Defined,1,manual
EOCT US,Defined,1,manual
FAPR US,Defined,1,manual
FAUG US,Defined,1,manual
FB US,Defined,1,manual
FBUF US,Defined,1,manual
FDEC US,Defined,1,manual
FEBM US,Defined,1,manual
FEBP US,Defined,1,manual
FEBT US,Defined,1,manual
FEBU US,Defined,1,manual
FEBW US,Defined,1,manual
FEBZ US,Defined,1,manual
FFEB US,Defined,1,manual
FHDG US,Defined,1,manual
FHEQ US,Defined,1,manual
FJAN US,Defined,1,manual
FJUL US,Defined,1,manual
FJUN US,Defined,1,manual
FLAO US,Defined,1,manual
FLJJ US,Defined,1,manual
FMAR US,Defined,1,manual
FMAY US,Defined,1,manual
FNOV US,Defined,1,manual
FOCT US,Defined,1,manual
FSEP US,Defined,1,manual
GAPR US,Defined,1,manual
GAUG US,Defined,1,manual
GBXA US,Defined,1,manual
GBXB US,Defined,1,manual
GBXC US,Defined,1,manual
GDEC US,Defined,1,manual
GFEB US,Defined,1,manual
GJAN US,Defined,1,manual
GJUL US,Defined,1,manual
GJUN US,Defined,1,manual
GMAR US,Defined,1,manual
GMAY US,Defined,1,manual
GNOV US,Defined,1,manual
GOCT US,Defined,1,manual
GSEP US,Defined,1,manual
HELO US,Defined,1,manual
HEQQ US,Defined,1,manual
HOLA US,Defined,1,manual
HYKE US,Defined,1,manual
IAPR US,Defined,1,manual
IAUG US,Defined,1,manual
IBUF US,Defined,1,manual
IDEC US,Defined,1,manual
IFEB US,Defined,1,manual
IFLR US,Defined,1,manual
IJAN US,Defined,1,manual
IJUL US,Defined,1,manual
IJUN US,Defined,1,manual
IMAR US,Defined,1,manual
IMAY US,Defined,1,manual
INOV US,Defined,1,manual
IOCT US,Defined,1,manual
ISEP US,Defined,1,manual
IVVB US,Defined,1,manual
IVVM US,Defined,1,manual
JAJL US,Defined,1,manual
JANB US,Defined,1,manual
JANH US,Defined,1,manual
JANJ US,Defined,1,manual
JANM US,Defined,1,manual
JANP US,Defined,1,manual
JANT US,Defined,1,manual
JANU US,Defined,1,manual
JANW US,Defined,1,manual
JANZ US,Defined,1,manual
JNEU US,Defined,1,manual
JULB US,Defined,1,manual
JULH US,Defined,1,manual
JULJ US,Defined,1,manual
JULM US,Defined,1,manual
JULP US,Defined,1,manual
JULT US,Defined,1,manual
JULU US,Defined,1,manual
JULW US,Defined,1,manual
JULZ US,Defined,1,manual
JUNM US,Defined,1,manual
JUNP US,Defined,1,manual
JUNT US,Defined,1,manual
JUNW US,Defined,1,manual
JUNZ US,Defined,1,manual
KAPR US,Defined,1,manual
KAUG US,Defined,1,manual
KBUF US,Defined,1,manual
KDEC US,Defined,1,manual
KFEB US,Defined,1,manual
KIQQ US,Defined,1,manual
KJAN US,Defined,1,manual
KJUL US,Defined,1,manual
KJUN US,Defined,1,manual
KMAR US,Defined,1,manual
KMAY US,Defined,1,manual
KNOV US,Defined,1,manual
KOCT US,Defined,1,manual
KPRO US,Defined,1,manual
KSEP US,Defined,1,manual
LAPR US,Defined,1,manual
LJAN US,Defined,1,manual
LJUL US,Defined,1,manual
LOCT US,Defined,1,manual
MARM US,Defined,1,manual
MART US,Defined,1,manual
MARU US,Defined,1,manual
MARW US,Defined,1,manual
MARZ US,Defined,1,manual
MAXJ US,Defined,1,manual
MAYM US,Defined,1,manual
MAYP US,Defined,1,manual
MAYT US,Defined,1,manual
MAYU US,Defined,1,manual
MAYW US,Defined,1,manual
MAYZ US,Defined,1,manual
MMAX US,Defined,1,manual
MRCP US,Defined,1,manual
NAPR US,Defined,1,manual
NAUG US,Defined,1,manual
NDEC US,Defined,1,manual
NFEB US,Defined,1,manual
NJAN US,Defined,1,manual
NJUL US,Defined,1,manual
NJUN US,Defined,1,manual
NMAR US,Defined,1,manual
NMAY US,Defined,1,manual
NNOV US,Defined,1,manual
NOCT US,Defined,1,manual
NOVM US,Defined,1,manual
NOVP US,Defined,1,manual
NOVZ US,Defined,1,manual
NSEP US,Defined,1,manual
NVBT US,Defined,1,manual
NVBU US,Defined,1,manual
NVBW US,Defined,1,manual
OCTB US,Defined,1,manual
OCTH US,Defined,1,manual
OCTJ US,Defined,1,manual
