ticker,etp_category,is_primary,source
OCTM US,Defined,1,manual
OCTP US,Defined,1,manual
OCTT US,Defined,1,manual
OCTU US,Defined,1,manual
OCTW US,Defined,1,manual
OCTZ US,Defined,1,manual
ONEZ US,Defined,1,manual
PAPR US,Defined,1,manual
PAUG US,Defined,1,manual
PBAP US,Defined,1,manual
PBAU US,Defined,1,manual
PBDE US,Defined,1,manual
PBFB US,Defined,1,manual
PBFR US,Defined,1,manual
PBJA US,Defined,1,manual
PBJL US,Defined,1,manual
PBJN US,Defined,1,manual
PBMR US,Defined,1,manual
PBMY US,Defined,1,manual
PBNV US,Defined,1,manual
PBOC US,Defined,1,manual
PBQQ US,Defined,1,manual
PBSE US,Defined,1,manual
PDEC US,Defined,1,manual
PFEB US,Defined,1,manual
PJAN US,Defined,1,manual
PJUL US,Defined,1,manual
PJUN US,Defined,1,manual
PMAP US,Defined,1,manual
PMAR US,Defined,1,manual
PMAU US,Defined,1,manual
PMAY US,Defined,1,manual
PMDE US,Defined,1,manual
PMFB US,Defined,1,manual
PMJA US,Defined,1,manual
PMJL US,Defined,1,manual
PMJN US,Defined,1,manual
PMMR US,Defined,1,manual
PMMY US,Defined,1,manual
PMNV US,Defined,1,manual
PMOC US,Defined,1,manual
PMSE US,Defined,1,manual
PNOV US,Defined,1,manual
POCT US,Defined,1,manual
PQAP US,Defined,1,manual
PQJA US,Defined,1,manual
PQJL US,Defined,1,manual
PQOC US,Defined,1,manual
PSCJ US,Defined,1,manual
PSCQ US,Defined,1,manual
PSCW US,Defined,1,manual
PSCX US,Defined,1,manual
PSEP US,Defined,1,manual
PSFD US,Defined,1,manual
PSFF US,Defined,1,manual
PSFJ US,Defined,1,manual
PSFM US,Defined,1,manual
PSFO US,Defined,1,manual
PSMD US,Defined,1,manual
PSMJ US,Defined,1,manual
PSMO US,Defined,1,manual
PSMR US,Defined,1,manual
PSTP US,Defined,1,manual
PWS US,Defined,1,manual
QB US,Defined,1,manual
QBER US,Defined,1,manual
QBF US,Defined,1,manual
QBSF US,Defined,1,manual
QBUF US,Defined,1,manual
QCAP US,Defined,1,manual
QCJA US,Defined,1,manual
QCJL US,Defined,1,manual
QCOC US,Defined,1,manual
QDEC US,Defined,1,manual
QFLR US,Defined,1,manual
QGRD US,Defined,1,manual
QHDG US,Defined,1,manual
QJUN US,Defined,1,manual
QMAG US,Defined,1,manual
QMAR US,Defined,1,manual
QMFE US,Defined,1,manual
QMMY US,Defined,1,manual
QMNV US,Defined,1,manual
QSPT US,Defined,1,manual
QTAP US,Defined,1,manual
QTJA US,Defined,1,manual
QTJL US,Defined,1,manual
QTOC US,Defined,1,manual
RB US,Defined,1,manual
RBUF US,Defined,1,manual
RFLR US,Defined,1,manual
RSDE US,Defined,1,manual
RSJN US,Defined,1,manual
RSMR US,Defined,1,manual
RSSE US,Defined,1,manual
SAUG US,Defined,1,manual
SBAR US,Defined,1,manual
SEPM US,Defined,1,manual
SEPP US,Defined,1,manual
SEPT US,Defined,1,manual
SEPU US,Defined,1,manual
SEPW US,Defined,1,manual
SEPZ US,Defined,1,manual
SFEB US,Defined,1,manual
SFLR US,Defined,1,manual
SIXD US,Defined,1,manual
SIXF US,Defined,1,manual
SIXJ US,Defined,1,manual
SIXO US,Defined,1,manual
SIXP US,Defined,1,manual
SIXZ US,Defined,1,manual
SMAX US,Defined,1,manual
SMAY US,Defined,1,manual
SNOV US,Defined,1,manual
SPBU US,Defined,1,manual
SPBW US,Defined,1,manual
SPBX US,Defined,1,manual
SQMX US,Defined,1,manual
STEN US,Defined,1,manual
TAPR US,Defined,1,manual
TBJL US,Defined,1,manual
TDEC US,Defined,1,manual
TEND US,Defined,1,manual
TENJ US,Defined,1,manual
TENM US,Defined,1,manual
TFJL US,Defined,1,manual
THEQ US,Defined,1,manual
TJAN US,Defined,1,manual
TJUL US,Defined,1,manual
TJUN US,Defined,1,manual
TMAR US,Defined,1,manual
TOCT US,Defined,1,manual
TRIO US,Defined,1,manual
TSEP US,Defined,1,manual
TWOX US,Defined,1,manual
UAPR US,Defined,1,manual
UAUG US,Defined,1,manual
UDEC US,Defined,1,manual
UFEB US,Defined,1,manual
UJAN US,Defined,1,manual
UJUL US,Defined,1,manual
UJUN US,Defined,1,manual
UMAR US,Defined,1,manual
UMAY US,Defined,1,manual
UNOV US,Defined,1,manual
UOCT US,Defined,1,manual
USEP US,Defined,1,manual
UXAP US,Defined,1,manual
UXJA US,Defined,1,manual
UXJL US,Defined,1,manual
UXOC US,Defined,1,manual
XAPR US,Defined,1,manual
XAUG US,Defined,1,manual
XBAP US,Defined,1,manual
XBJA US,Defined,1,manual
XBJL US,Defined,1,manual
XBOC US,Defined,1,manual
XDEC US,Defined,1,manual
XDQQ US,Defined,1,manual
XDSQ US,Defined,1,manual
XFEB US,Defined,1,manual
XIDE US,Defined,1,manual
XIJN US,Defined,1,manual
XIMR US,Defined,1,manual
XISE US,Defined,1,manual
XJAN US,Defined,1,manual
XJUL US,Defined,1,manual
XJUN US,Defined,1,manual
XMAR US,Defined,1,manual
XMAY US,Defined,1,manual
XNOV US,Defined,1,manual
XOCT US,Defined,1,manual
XSEP US,Defined,1,manual
XTAP US,Defined,1,manual
XTJA US,Defined,1,manual
XTJL US,Defined,1,manual
XTOC US,Defined,1,manual
XUSP US,Defined,1,manual
YDEC US,Defined,1,manual
YJUN US,Defined,1,manual
YMAR US,Defined,1,manual
YSEP US,Defined,1,manual
ZALT US,Defined,1,manual
ZAPR US,Defined,1,manual
ZAUG US,Defined,1,manual
ZDEK US,Defined,1,manual
ZFEB US,Defined,1,manual
ZJAN US,Defined,1,manual
ZJUL US,Defined,1,manual
ZJUN US,Defined,1,manual
ZMAR US,Defined,1,manual
ZMAY US,Defined,1,manual
ZNOV US,Defined,1,manual
ZOCT US,Defined,1,manual
ZSEP US,Defined,1,manual
BFJA US,Defined,1,manual
DGJA US,Defined,1,manual
BTCL US,LI,1,manual
BTCZ US,LI,1,manual
ETQ US,LI,1,manual
ETU US,LI,1,manual
SOLX US,LI,1,manual
XRPK US,LI,1,manual
AALG US,LI,1,manual
AAPB US,LI,1,manual
AAPD US,LI,1,manual
AAPU US,LI,1,manual
AAPX US,LI,1,manual
ABNG US,LI,1,manual
ADBG US,LI,1,manual
ADZCF US,LI,1,manual
AFRU US,LI,1,manual
AGQ US,LI,1,manual
AIBD US,LI,1,manual
AIBU US,LI,1,manual
AMDD US,LI,1,manual
AMDG US,LI,1,manual
AMDL US,LI,1,manual
AMUU US,LI,1,manual
AMZD US,LI,1,manual
AMZU US,LI,1,manual
AMZZ US,LI,1,manual
ANEL US,LI,1,manual
APLX US,LI,1,manual
APPX US,LI,1,manual
ARCX US,LI,1,manual
ARMG US,LI,1,manual
ARMU US,LI,1,manual
ASMG US,LI,1,manual
ASTX US,LI,1,manual
AURU US,LI,1,manual
AVGG US,LI,1,manual
AVGU US,LI,1,manual
AVGX US,LI,1,manual
AVL US,LI,1,manual
AVS US,LI,1,manual
AVXX US,LI,1,manual
AXUP US,LI,1,manual
BABX US,LI,1,manual
BAIG US,LI,1,manual
BDCX US,LI,1,manual
BDDXF US,LI,1,manual
BEG US,LI,1,manual
BEGS US,LI,1,manual
BERZ US,LI,1,manual
BEX US,LI,1,manual
BIB US,LI,1,manual
BIDG US,LI,1,manual
BIS US,LI,1,manual
BITI US,LI,1,manual
BITU US,LI,1,manual
BITX US,LI,1,manual
BKNU US,LI,1,manual
BLSG US,LI,1,manual
BLSX US,LI,1,manual
BMNG US,LI,1,manual
BMNU US,LI,1,manual
BMNZ US,LI,1,manual
BNKD US,LI,1,manual
BNKU US,LI,1,manual
BOED US,LI,1,manual
BOEG US,LI,1,manual
BOEU US,LI,1,manual
BOIL US,LI,1,manual
BOMMF US,LI,1,manual
BOSXF US,LI,1,manual
BRKD US,LI,1,manual
BRKU US,LI,1,manual
BRZU US,LI,1,manual
BTFL US,LI,1,manual
BTGD US,LI,1,manual
BU US,LI,1,manual
BULG US,LI,1,manual
BULU US,LI,1,manual
BULX US,LI,1,manual
