ticker,map_cc_underlier,map_cc_index,cc_type,cc_category
TCAL US,,Basket,Traditional,Broad Beta
BTCC US,,BTC,Synthetic,Crypto
BPI US,,BTC,Synthetic,Crypto
MAGY US,,Basket,Traditional,Tech
BAGY US,,BTC,Synthetic,Crypto
BITY US,,BTC,Synthetic,Crypto
SOXY US,,Basket,Traditional,Tech
FEAT US,,Basket,Synthetic,Tech
FIVY US,,Basket,Synthetic,Tech
LFGY US,,Basket,Traditional,Crypto
GPTY US,,Basket,Traditional,Tech
CHPY US,,Basket,Traditional,Tech
RNTY US,,Basket,Traditional,Real Estate
HCOW US,,Basket,Traditional,Broad Beta
IDVO US,,Basket,Traditional,International
DYLG US,,DJI,Traditional,Broad Beta
DJIA US,,DJI,Traditional,Broad Beta
TYLG US,,BXLKH,Traditional,Tech
BUYW US,,Basket,Traditional,Broad Beta
SRHR US,,Basket,Traditional,Real Estate
BLOX US,,Basket,Synthetic,Crypto
KGLD US,,GLD,Synthetic,Commodity
XLBI US,,Basket,Traditional,Sector
RBLY US,RBLX,,Synthetic,Single Stock
XLCI US,,Basket,Traditional,Sector
XLUI US,,Basket,Traditional,Sector
XLSI US,,Basket,Traditional,Sector
XLRI US,,Basket,Traditional,Real Estate
XLEI US,,Basket,Traditional,Energy
XLKI US,,Basket,Traditional,Tech
XLVI US,,Basket,Traditional,Sector
XLII US,,Basket,Traditional,Sector
XLFI US,,Basket,Traditional,Sector
XLYI US,,Basket,Traditional,Sector
SLTY US,,Basket,Synthetic,Specialty
ETCO US,,ETH,Synthetic,Crypto
TDAQ US,,NDX,Traditional,Tech
WPAY US,,FOF,Traditional,Single Stock
ACKY US,,Basket,Traditional,Single Stock
SEPI US,,Basket,Traditional,Broad Beta
QLDY US,,NDX,Synthetic,Tech
NIHI US,,MXEA,Traditional,International
ETHI US,,ETH,Synthetic,Crypto
RDVI US,,Basket,Traditional,Broad Beta
CSHI US,,Basket,Traditional,Fixed Income
SDVD US,,Basket,Traditional,Small Caps
BUCK US,,Basket,Synthetic,Fixed Income
IGLD US,,GLD,Traditional,Commodity
TDVI US,,Basket,Traditional,Tech
HYBI US,,Basket,Traditional,Fixed Income
LQTI US,,Basket,Traditional,Fixed Income
XBTY US,BITX US,,Synthetic,Crypto
DOGG US,,Basket,Traditional,Small Caps
HYTI US,,Basket,Traditional,Fixed Income
CANQ US,,NDX,Traditional,Tech
QQQT US,,NDX,Synthetic,Tech
SPIN US,,Basket,Synthetic,Broad Beta
GLDY US,,Basket,Synthetic,Commodity
WEEL US,,Basket,Synthetic,Broad Beta
DFII US,,BTC,Synthetic,Crypto
YSPY US,SPXL US,,Synthetic,Broad Beta
YQQQ US,,QQQ,Synthetic,Tech
LTTI US,,Basket,Traditional,Fixed Income
FDND US,,Basket,Traditional,Tech
SPUT US,,Basket,Synthetic,Broad Beta
SPYH US,,SPX,Traditional,Broad Beta
